,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,std,turbo
0,3,122.0,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,21,27,16500,8.936170212765957,11.48936170212766,low,False,True,True,False
1,1,122.0,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,19,26,16500,8.085106382978724,11.063829787234042,medium,False,True,True,False
2,2,164.0,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.9194444444444445,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,24,30,13950,10.212765957446807,12.76595744680851,low,False,True,True,False
3,2,164.0,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.9222222222222223,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,18,22,17450,7.659574468085106,9.361702127659575,low,False,True,True,False
4,2,122.0,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.9208333333333333,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,15250,8.085106382978724,10.638297872340425,low,False,True,True,False
5,1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,17710,8.085106382978724,10.638297872340425,low,False,True,True,False
6,1,122.0,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,19,25,18920,8.085106382978724,10.638297872340425,low,False,True,True,False
7,1,158.0,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9916666666666667,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,17,20,23875,7.234042553191489,8.51063829787234,medium,False,True,False,True
8,2,192.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16430,9.787234042553191,12.340425531914892,low,False,True,True,False
9,0,192.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,23,29,16925,9.787234042553191,12.340425531914892,low,False,True,True,False
10,0,188.0,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,20970,8.936170212765957,11.914893617021276,medium,False,True,True,False
11,0,188.0,bmw,four,sedan,rwd,front,101.2,0.849591542527631,0.8999999999999999,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,21,28,21105,8.936170212765957,11.914893617021276,medium,False,True,True,False
12,1,122.0,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,20,25,24565,8.51063829787234,10.638297872340425,medium,False,True,True,False
13,0,122.0,bmw,four,sedan,rwd,front,103.5,0.9082172032676598,0.9291666666666667,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,16,22,30760,6.808510638297872,9.361702127659575,medium,False,True,True,False
